VariableName,ResultValue
"NewCapacity(RE1,MINGEO,2055)",325.70575
"NewCapacity(RE1,MINGEO,2056)",345.14995
"NewCapacity(RE1,MINGEO,2057)",358.66096
"NewCapacity(RE1,MINGEO,2058)",372.62345
"NewCapacity(RE1,MINGEO,2059)",387.05274
"NewCapacity(RE1,MINGEO,2060)",401.96489
"NewCapacity(RE1,MINGEO,2061)",412.59907
"NewCapacity(RE1,MINGEO,2062)",423.47471
"NewCapacity(RE1,MINGEO,2063)",434.59843
"NewCapacity(RE1,MINGEO,2064)",445.97739
"NewCapacity(RE1,MINGEO,2065)",457.53933
"NewCapacity(RE1,MINGEO,2066)",468.20364
"NewCapacity(RE1,MINGEO,2067)",478.80605
"NewCapacity(RE1,MINGEO,2068)",489.65483
"NewCapacity(RE1,MINGEO,2069)",500.7566
"NewCapacity(RE1,MINGEO,2070)",512.11816
"NewCapacity(RE1,PWRGEO,2015)",0.23446571
"NewCapacity(RE1,PWRGEO,2016)",0.037565382
"NewCapacity(RE1,PWRGEO,2017)",0.12573874
"NewCapacity(RE1,PWRGEO,2018)",0.13004649
"NewCapacity(RE1,PWRGEO,2019)",0.12455306
"NewCapacity(RE1,PWRGEO,2020)",0.12395968
"NewCapacity(RE1,PWRGEO,2021)",0.19451005
"NewCapacity(RE1,PWRGEO,2022)",0.11761491
"NewCapacity(RE1,PWRGEO,2023)",0.12561736
"NewCapacity(RE1,PWRGEO,2024)",0.013105091
"NewCapacity(RE1,PWRGEO,2026)",0.07840853
"NewCapacity(RE1,PWRGEO,2027)",0.16274346
"NewCapacity(RE1,PWRGEO,2028)",0.28760925
"NewCapacity(RE1,PWRGEO,2029)",0.17729243
"NewCapacity(RE1,PWRGEO,2030)",0.18894597
"NewCapacity(RE1,PWRGEO,2031)",0.11988432
"NewCapacity(RE1,PWRGEO,2032)",0.22101314
"NewCapacity(RE1,PWRGEO,2033)",0.23753066
"NewCapacity(RE1,PWRGEO,2034)",0.2551453
"NewCapacity(RE1,PWRGEO,2035)",0.23286175
"NewCapacity(RE1,PWRGEO,2036)",0.31842847
"NewCapacity(RE1,PWRGEO,2037)",0.31638025
"NewCapacity(RE1,PWRGEO,2038)",0.11478677
"NewCapacity(RE1,PWRGEO,2039)",0.53324755
"NewCapacity(RE1,PWRGEO,2040)",0.3046226
"NewCapacity(RE1,PWRGEO,2041)",0.35233644
"NewCapacity(RE1,PWRGEO,2042)",0.45818516
"NewCapacity(RE1,PWRGEO,2043)",0.50846054
"NewCapacity(RE1,PWRGEO,2044)",0.54028348
"NewCapacity(RE1,PWRGEO,2045)",0.56301856
"NewCapacity(RE1,PWRGEO,2046)",0.6675438
"NewCapacity(RE1,PWRGEO,2047)",0.51329642
"NewCapacity(RE1,PWRGEO,2048)",0.54342734
"NewCapacity(RE1,PWRGEO,2049)",0.45427967
"NewCapacity(RE1,PWRGEO,2050)",0.48529333
"NewCapacity(RE1,PWRGEO,2051)",0.39300252
"NewCapacity(RE1,PWRGEO,2052)",0.48786071
"NewCapacity(RE1,PWRGEO,2053)",0.62360198
"NewCapacity(RE1,PWRGEO,2054)",0.5684555
"NewCapacity(RE1,PWRGEO,2055)",0.59316128
"NewCapacity(RE1,PWRGEO,2056)",0.74111478
"NewCapacity(RE1,PWRGEO,2057)",0.65268216
"NewCapacity(RE1,PWRGEO,2058)",0.68362413
"NewCapacity(RE1,PWRGEO,2059)",0.71615238
"NewCapacity(RE1,PWRGEO,2060)",0.70929615
"NewCapacity(RE1,PWRGEO,2061)",0.65818435
"NewCapacity(RE1,PWRGEO,2062)",0.66385072
"NewCapacity(RE1,PWRGEO,2063)",0.47018293
"NewCapacity(RE1,PWRGEO,2064)",0.89679856
"NewCapacity(RE1,PWRGEO,2065)",0.67402005
"NewCapacity(RE1,PWRGEO,2066)",0.69305468
"NewCapacity(RE1,PWRGEO,2067)",0.79692614
"NewCapacity(RE1,PWRGEO,2068)",0.8550727
"NewCapacity(RE1,PWRGEO,2069)",0.89497846
"NewCapacity(RE1,PWRGEO,2070)",0.92601363
"NewCapacity(RE1,MINSOL,2015)",0.25364054
"NewCapacity(RE1,MINSOL,2016)",0.25364054
"NewCapacity(RE1,MINSOL,2017)",0.25364054
"NewCapacity(RE1,MINSOL,2018)",0.25364054
"NewCapacity(RE1,MINSOL,2019)",0.25364054
"NewCapacity(RE1,MINSOL,2020)",0.25364054
"NewCapacity(RE1,MINSOL,2021)",0.25364054
"NewCapacity(RE1,MINSOL,2022)",0.25364054
"NewCapacity(RE1,MINSOL,2023)",0.25364054
"NewCapacity(RE1,MINSOL,2024)",3.5358588
"NewCapacity(RE1,MINSOL,2025)",7.4152113
"NewCapacity(RE1,MINSOL,2026)",10.318154
"NewCapacity(RE1,MINSOL,2027)",11.265862
"NewCapacity(RE1,MINSOL,2028)",11.413862
"NewCapacity(RE1,MINSOL,2029)",13.463564
"NewCapacity(RE1,MINSOL,2030)",14.832298
"NewCapacity(RE1,MINSOL,2031)",20.289663
"NewCapacity(RE1,MINSOL,2032)",22.005816
"NewCapacity(RE1,MINSOL,2033)",23.850225
"NewCapacity(RE1,MINSOL,2034)",25.85039
"NewCapacity(RE1,MINSOL,2035)",28.730647
"NewCapacity(RE1,MINSOL,2036)",31.203223
"NewCapacity(RE1,MINSOL,2037)",32.750622
"NewCapacity(RE1,MINSOL,2038)",37.22852
"NewCapacity(RE1,MINSOL,2039)",40.282061
"NewCapacity(RE1,MINSOL,2040)",47.300839
"NewCapacity(RE1,MINSOL,2041)",49.572921
"NewCapacity(RE1,MINSOL,2042)",51.972587
"NewCapacity(RE1,MINSOL,2043)",54.322645
"NewCapacity(RE1,MINSOL,2044)",56.696148
"NewCapacity(RE1,MINSOL,2045)",59.20284
"NewCapacity(RE1,MINSOL,2046)",61.903502
"NewCapacity(RE1,MINSOL,2047)",65.455907
"NewCapacity(RE1,MINSOL,2048)",69.206981
"NewCapacity(RE1,MINSOL,2049)",73.167821
"NewCapacity(RE1,MINSOL,2050)",77.350127
"NewCapacity(RE1,MINSOL,2051)",80.009162
"NewCapacity(RE1,MINSOL,2052)",82.757143
"NewCapacity(RE1,MINSOL,2053)",85.597047
"NewCapacity(RE1,MINSOL,2054)",88.253832
"NewCapacity(RE1,MINSOL,2055)",90.999269
"NewCapacity(RE1,MINSOL,2056)",93.83638
"NewCapacity(RE1,MINSOL,2057)",96.768283
"NewCapacity(RE1,MINSOL,2058)",99.798156
"NewCapacity(RE1,MINSOL,2059)",102.92932
"NewCapacity(RE1,MINSOL,2060)",106.16527
"NewCapacity(RE1,MINSOL,2061)",108.4729
"NewCapacity(RE1,MINSOL,2062)",110.83292
"NewCapacity(RE1,MINSOL,2063)",113.24678
"NewCapacity(RE1,MINSOL,2064)",115.71602
"NewCapacity(RE1,MINSOL,2065)",118.2582
"NewCapacity(RE1,MINSOL,2066)",121.09457
"NewCapacity(RE1,MINSOL,2067)",124.05902
"NewCapacity(RE1,MINSOL,2068)",127.09235
"NewCapacity(RE1,MINSOL,2069)",130.19641
"NewCapacity(RE1,MINSOL,2070)",133.37311
"NewCapacity(RE1,PWRSOL,2024)",0.31057037
"NewCapacity(RE1,PWRSOL,2025)",0.36707247
"NewCapacity(RE1,PWRSOL,2026)",0.27468253
"NewCapacity(RE1,PWRSOL,2027)",0.089674138
"NewCapacity(RE1,PWRSOL,2028)",0.014004085
"NewCapacity(RE1,PWRSOL,2029)",0.19394709
"NewCapacity(RE1,PWRSOL,2030)",0.12951242
"NewCapacity(RE1,PWRSOL,2031)",0.51638739
"NewCapacity(RE1,PWRSOL,2032)",0.16238592
"NewCapacity(RE1,PWRSOL,2033)",0.1745219
"NewCapacity(RE1,PWRSOL,2034)",0.18925974
"NewCapacity(RE1,PWRSOL,2035)",0.27253605
"NewCapacity(RE1,PWRSOL,2036)",0.23396029
"NewCapacity(RE1,PWRSOL,2037)",0.14641816
"NewCapacity(RE1,PWRSOL,2038)",0.44770807
"NewCapacity(RE1,PWRSOL,2039)",0.28893243
"NewCapacity(RE1,PWRSOL,2040)",0.8949684
"NewCapacity(RE1,PWRSOL,2041)",0.22607734
"NewCapacity(RE1,PWRSOL,2042)",0.23877229
"NewCapacity(RE1,PWRSOL,2043)",0.23383607
"NewCapacity(RE1,PWRSOL,2044)",0.23616903
"NewCapacity(RE1,PWRSOL,2045)",0.24942151
"NewCapacity(RE1,PWRSOL,2046)",0.26872203
"NewCapacity(RE1,PWRSOL,2047)",0.35347248
"NewCapacity(RE1,PWRSOL,2048)",0.68381079
"NewCapacity(RE1,PWRSOL,2049)",0.76118508
"NewCapacity(RE1,PWRSOL,2050)",0.69083152
"NewCapacity(RE1,PWRSOL,2051)",0.35425422
"NewCapacity(RE1,PWRSOL,2052)",0.28743445
"NewCapacity(RE1,PWRSOL,2053)",0.47652396
"NewCapacity(RE1,PWRSOL,2054)",0.39386864
"NewCapacity(RE1,PWRSOL,2055)",0.78956459
"NewCapacity(RE1,PWRSOL,2056)",0.444685
"NewCapacity(RE1,PWRSOL,2057)",0.46625289
"NewCapacity(RE1,PWRSOL,2058)",0.49073907
"NewCapacity(RE1,PWRSOL,2059)",0.58409431
"NewCapacity(RE1,PWRSOL,2060)",0.55594467
"NewCapacity(RE1,PWRSOL,2061)",0.37603232
"NewCapacity(RE1,PWRSOL,2062)",0.68253591
"NewCapacity(RE1,PWRSOL,2063)",0.52911662
"NewCapacity(RE1,PWRSOL,2064)",1.1406638
"NewCapacity(RE1,PWRSOL,2065)",0.47902972
"NewCapacity(RE1,PWRSOL,2066)",0.52099786
"NewCapacity(RE1,PWRSOL,2067)",0.5288051
